ID,Câu hỏi,Lựa chọn 1,Lựa chọn 2,Lựa chọn 3,Lựa chọn 4,Đáp án đúng,Điểm liệt,Chương,Hình ảnh
1,Phần của đường bộ được sử dụng cho phương tiện giao thông đường bộ đi lại là gì?,Phần mặt đường và lề đường.,Phần đường xe chạy.,Phần đường xe cơ giới.,,2,False,1,
2,Làn đường là gì?,Là một phần của phần đường xe chạy được chia theo chiều dọc của đường sử dụng cho xe chạy.,Là một phần của phần đường xe chạy được chia theo chiều dọc của đường có đủ chiều rộng cho xe chạy an toàn.,Là đường cho xe ô tô chạy dừng đỗ an toàn.,,2,False,1,
3,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng chiều cao của đường bộ để các xe bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn tiêu chuẩn kỹ thuật của đường bộ.,Là khoảng trống có kích thước giới hạn về chiều rộng của đường cầu bến phà hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.,Là khoảng trống có kích thước giới hạn về chiều cao của cầu bến phà hầm trên đường bộ để các xe đi qua được an toàn.,,1,False,1,
4,Dải phân cách được lắp đặt để làm gì?,Để phân chia các làn đường dành cho xe cơ giới và xe thô sơ trên đường cao tốc.,Để phân chia phần đường xe chạy thành hai chiều riêng biệt hoặc để phân chia phần đường dành cho xe cơ giới và xe thô sơ hoặc của nhiều loại xe khác nhau trên cùng một chiều đường.,Để phân tách phần đường xe chạy và hành lang an toàn giao thông.,,2,False,1,
5,Vạch kẻ đường là gì?,Là báo hiệu đường bộ để hỗ trợ cảnh báo nguy hiểm cho người tham gia giao thông đường bộ.,Là vạch chỉ sự phân chia làn đường vị trí hoặc hướng đi vị trí dừng lại.,Là báo hiệu cho người tham gia giao thông đường bộ về các thông tin của đường bộ.,Cả ba ý trên.,2,False,1,
6,Người điều khiển phương tiện tham gia giao thông đường bộ được hiểu như thế nào là đúng?,Là người điều khiển xe cơ giới người điều khiển xe thô sơ người điều khiển xe máy chuyên dùng.,Là người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Cả hai ý trên.,,1,False,1,
7,Người lái xe được hiểu như thế nào là đúng?,Là người điều khiển xe cơ giới.,Là người điều khiển xe thô sơ.,Là người điều khiển xe máy chuyên dùng.,,1,False,1,
8,Trong nhóm các phương tiện giao thông đường bộ dưới đây nhóm phương tiện nào là xe cơ giới?,Xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng; xe đạp xe đạp máy xe đạp điện.,Xe ô tô; rơ moóc được kéo bởi xe ô tô; sơ mi rơ moóc được kéo bởi ô tô đầu kéo; xe chở người bốn bánh có gắn động cơ; xe chở hàng bốn bánh có gắn động cơ; xe mô tô xe gắn máy và các loại xe tương tự.,,,2,False,1,
9,Trong nhóm các phương tiện giao thông đường bộ dưới đây nhóm phương tiện nào là xe thô sơ?,Xe đạp xe đạp máy xe đạp điện; xe xích lô; xe lăn dùng cho người khuyết tật; xe vật nuôi kéo và các loại xe tương tự.,Xe đạp (kể cả xe đạp máy xe đạp điện) xe gắn máy xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.,Xe ô tô máy kéo rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô máy kéo.,,1,False,1,
10,"Phương tiện giao thông đường bộ"" gồm những loại nào?",Phương tiện giao thông cơ giới đường bộ.,Phương tiện giao thông thô sơ đường bộ xe máy chuyên dùng và các loại xe tương tự.,Cả hai ý trên.,,3,False,1,
11,Người tham gia giao thông đường bộ gồm những đối tượng nào?,Người điều khiển người được chở trên phương tiện tham gia giao thông đường bộ.,Người điều khiển dẫn dắt vật nuôi trên đường bộ; người đi bộ trên đường bộ.,Cả hai ý trên.,,3,False,1,
12,Người điều khiển phương tiện tham gia giao thông đường bộ gồm những đối tượng nào dưới đây?,Người điều khiển xe cơ giới người điều khiển xe thô sơ.,Người điều khiển xe máy chuyên dùng.,Cả hai ý trên.,,3,False,1,
13,Người điều khiển giao thông đường bộ được hiểu như thế nào là đúng?,Là người điều khiển phương tiện tham gia giao thông đường bộ.,Là Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.,Là người tham gia giao thông đường bộ.,,2,False,1,
14,Hành vi nào dưới đây bị nghiêm cấm?,Sử dụng xe đạp đi trên các tuyến quốc lộ.,Rải vật sắc nhọn đổ chất gây trơn trượt trên đường bộ.,Cả hai ý trên.,,2,True,1,
15,Hành vi đưa xe cơ giới xe máy chuyên dùng tham gia giao thông đường bộ nào dưới đây bị cấm?,Không có chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường.,Hết niên hạn sử dụng.,Cả hai ý trên.,,3,True,1,
16,Tổ chức đua xe được phép thực hiện khi nào?,Trên đường phố không có người qua lại.,Được người dân ủng hộ.,Được cơ quan có thẩm quyền cấp phép.,,3,True,1,
17,Hành vi đua xe trái phép bị xử lý như thế nào?,Chỉ bị nhắc nhở.,Tùy theo mức độ của hành vi vi phạm có thể bị xử lý hành chính hoặc xử lý hình sự.,,,2,True,1,
18,Người điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?,Bị nghiêm cấm.,Không bị nghiêm cấm.,Không bị nghiêm cấm nếu nồng độ cồn trong máu ở mức nhẹ có thể điều khiển phương tiện tham gia giao thông.,,1,True,1,
19,Theo Luật Phòng chống tác hại của rượu bia đối tượng nào dưới đây bị cấm sử dụng rượu bia khi tham gia giao thông?,Người điều khiển xe ô tô xe mô tô xe đạp xe gắn máy.,Người được chở trên xe cơ giới.,Cả hai ý trên.,,1,True,1,
20,Hành vi giao xe ô tô mô tô cho người nào sau đây tham gia giao thông đường bộ bị nghiêm cấm?,Người chưa đủ tuổi theo quy định.,Người không có giấy phép lái xe.,Người có giấy phép lái xe nhưng đã bị trừ hết 12 điểm.,Cả ba ý trên.,4,True,1,
21,Hành vi nào sau đây bị nghiêm cấm?,Điều khiển xe cơ giới lạng lách đánh võng rú ga liên tục khi tham gia giao thông trên đường.,Xúc phạm đe dọa cản trở chống đối hoặc không chấp hành hiệu lệnh hướng dẫn yêu cầu kiểm tra kiểm soát của người thi hành công vụ về bảo đảm trật tự an toàn giao thông đường bộ.,Cả hai ý trên.,,3,True,1,
